phase,voice0,voice1,voice2,voice3,voice4,voice5
0,0,0,0,0,60,0
1,1,3,4,3,60,4
2,3,6,7,7,60,8
3,4,9,11,10,60,11
4,6,12,14,14,60,15
5,7,14,17,17,60,18
6,9,17,21,20,60,22
7,10,20,24,23,60,25
8,12,22,27,26,60,28
9,13,25,30,29,60,31
10,15,27,33,32,60,34
11,16,30,35,35,60,36
12,17,32,38,38,60,38
13,19,34,40,40,60,40
14,20,36,42,43,60,42
15,22,37,44,45,60,43
16,23,39,45,47,60,44
17,24,40,47,49,60,45
18,26,42,48,50,60,45
19,27,43,49,52,60,46
20,28,44,50,53,60,45
21,30,44,50,54,60,45
22,31,45,50,55,60,44
23,32,46,51,56,60,43
24,33,46,50,57,60,42
25,35,46,50,57,60,41
26,36,46,50,57,60,39
27,37,46,49,57,60,37
28,38,46,48,57,60,35
29,39,46,47,56,60,33
30,40,45,46,56,60,30
31,41,45,44,55,60,27
32,42,44,43,54,60,25
33,43,43,41,53,60,22
34,44,43,39,52,60,19
35,45,42,37,50,60,16
36,46,41,35,49,60,13
37,47,40,33,47,60,11
38,48,39,31,45,60,8
39,49,38,29,43,60,5
40,50,37,27,41,60,2
41,51,36,25,39,60,0
42,51,35,23,36,60,-3
43,52,34,21,34,60,-5
44,53,33,19,31,60,-7
45,54,32,17,29,60,-9
46,54,31,15,26,60,-11
47,55,31,13,23,60,-12
48,55,30,11,21,60,-14
49,56,29,9,18,60,-15
50,56,28,8,15,60,-16
51,57,27,6,12,60,-16
52,57,27,5,10,60,-17
53,58,26,3,7,60,-17
54,58,25,2,4,60,-17
55,59,25,1,1,60,-17
56,59,24,0,-1,60,-16
57,59,23,-1,-4,60,-15
58,59,23,-2,-6,60,-14
59,60,22,-3,-9,60,-13
60,60,22,-3,-11,60,-12
61,60,21,-4,-14,60,-10
62,60,21,-4,-16,60,-9
63,60,20,-5,-18,60,-7
64,60,20,-5,-20,60,-5
65,60,20,-5,-22,60,-3
66,60,19,-5,-24,60,-1
67,60,18,-5,-25,60,1
68,60,18,-5,-27,60,3
69,60,17,-5,-28,60,6
70,59,17,-5,-30,60,8
71,59,16,-5,-31,60,10
72,59,15,-5,-32,60,12
73,59,14,-5,-33,60,14
74,58,14,-5,-34,60,16
75,58,13,-5,-34,60,18
76,57,12,-5,-35,60,20
77,57,11,-4,-35,60,22
78,56,10,-4,-36,60,23
79,56,8,-4,-36,60,25
80,55,7,-4,-36,60,26
81,55,6,-4,-36,60,27
82,54,5,-4,-36,60,28
83,54,3,-4,-36,60,29
84,53,2,-4,-35,60,30
85,52,0,-4,-35,60,30
86,51,-1,-4,-34,60,30
87,51,-2,-5,-34,60,31
88,50,-4,-5,-33,60,31
89,49,-6,-5,-32,60,30
90,48,-7,-5,-32,60,30
91,47,-9,-6,-31,60,29
92,46,-10,-6,-30,60,29
93,45,-12,-6,-29,60,28
94,44,-13,-7,-28,60,27
95,43,-14,-7,-27,60,26
96,42,-16,-7,-26,60,25
97,41,-17,-8,-25,60,24
98,40,-18,-8,-24,60,22
99,39,-20,-8,-23,60,21
100,38,-21,-9,-22,60,20
101,37,-22,-9,-21,60,18
102,36,-22,-9,-19,60,17
103,35,-23,-10,-18,60,15
104,33,-24,-10,-17,60,14
105,32,-24,-10,-16,60,12
106,31,-24,-10,-15,60,11
107,30,-25,-10,-14,60,10
108,28,-25,-10,-13,60,8
109,27,-25,-10,-12,60,7
110,26,-24,-10,-12,60,6
111,24,-24,-10,-11,60,5
112,23,-24,-10,-10,60,4
113,22,-23,-10,-9,60,3
114,20,-22,-9,-8,60,3
115,19,-21,-9,-7,60,2
116,17,-20,-9,-7,60,1
117,16,-19,-8,-6,60,1
118,15,-18,-8,-5,60,0
119,13,-16,-7,-5,60,0
120,12,-15,-6,-4,60,0
121,10,-13,-6,-4,60,0
122,9,-11,-5,-3,60,0
123,7,-10,-4,-3,60,0
124,6,-8,-3,-2,60,0
125,4,-6,-3,-1,60,0
126,3,-4,-2,-1,60,0
127,1,-2,-1,0,60,0
128,0,0,0,0,-60,0
129,-1,2,1,0,-60,0
130,-3,4,2,1,-60,0
131,-4,6,3,1,-60,0
132,-6,8,3,2,-60,0
133,-7,10,4,3,-60,0
134,-9,11,5,3,-60,0
135,-10,13,6,4,-60,0
136,-12,15,6,4,-60,0
137,-13,16,7,5,-60,0
138,-15,18,8,5,-60,0
139,-16,19,8,6,-60,-1
140,-17,20,9,7,-60,-1
141,-19,21,9,7,-60,-2
142,-20,22,9,8,-60,-3
143,-22,23,10,9,-60,-3
144,-23,24,10,10,-60,-4
145,-24,24,10,11,-60,-5
146,-26,24,10,12,-60,-6
147,-27,25,10,12,-60,-7
148,-28,25,10,13,-60,-8
149,-30,25,10,14,-60,-10
150,-31,24,10,15,-60,-11
151,-32,24,10,16,-60,-12
152,-33,24,10,17,-60,-14
153,-35,23,10,18,-60,-15
154,-36,22,9,19,-60,-17
155,-37,22,9,21,-60,-18
156,-38,21,9,22,-60,-20
157,-39,20,8,23,-60,-21
158,-40,18,8,24,-60,-22
159,-41,17,8,25,-60,-24
160,-42,16,7,26,-60,-25
161,-43,14,7,27,-60,-26
162,-44,13,7,28,-60,-27
163,-45,12,6,29,-60,-28
164,-46,10,6,30,-60,-29
165,-47,9,6,31,-60,-29
166,-48,7,5,32,-60,-30
167,-49,6,5,32,-60,-30
168,-50,4,5,33,-60,-31
169,-51,2,5,34,-60,-31
170,-51,1,4,34,-60,-30
171,-52,0,4,35,-60,-30
172,-53,-2,4,35,-60,-30
173,-54,-3,4,36,-60,-29
174,-54,-5,4,36,-60,-28
175,-55,-6,4,36,-60,-27
176,-55,-7,4,36,-60,-26
177,-56,-8,4,36,-60,-25
178,-56,-10,4,36,-60,-23
179,-57,-11,4,35,-60,-22
180,-57,-12,5,35,-60,-20
181,-58,-13,5,34,-60,-18
182,-58,-14,5,34,-60,-16
183,-59,-14,5,33,-60,-14
184,-59,-15,5,32,-60,-12
185,-59,-16,5,31,-60,-10
186,-59,-17,5,30,-60,-8
187,-60,-17,5,28,-60,-6
188,-60,-18,5,27,-60,-3
189,-60,-18,5,25,-60,-1
190,-60,-19,5,24,-60,1
191,-60,-20,5,22,-60,3
192,-60,-20,5,20,-60,5
193,-60,-20,5,18,-60,7
194,-60,-21,4,16,-60,9
195,-60,-21,4,14,-60,10
196,-60,-22,3,11,-60,12
197,-60,-22,3,9,-60,13
198,-59,-23,2,6,-60,14
199,-59,-23,1,4,-60,15
200,-59,-24,0,1,-60,16
201,-59,-25,-1,-1,-60,17
202,-58,-25,-2,-4,-60,17
203,-58,-26,-3,-7,-60,17
204,-57,-27,-5,-10,-60,17
205,-57,-27,-6,-12,-60,16
206,-56,-28,-8,-15,-60,16
207,-56,-29,-9,-18,-60,15
208,-55,-30,-11,-21,-60,14
209,-55,-31,-13,-23,-60,12
210,-54,-31,-15,-26,-60,11
211,-54,-32,-17,-29,-60,9
212,-53,-33,-19,-31,-60,7
213,-52,-34,-21,-34,-60,5
214,-51,-35,-23,-36,-60,3
215,-51,-36,-25,-39,-60,0
216,-50,-37,-27,-41,-60,-2
217,-49,-38,-29,-43,-60,-5
218,-48,-39,-31,-45,-60,-8
219,-47,-40,-33,-47,-60,-11
220,-46,-41,-35,-49,-60,-13
221,-45,-42,-37,-50,-60,-16
222,-44,-43,-39,-52,-60,-19
223,-43,-43,-41,-53,-60,-22
224,-42,-44,-43,-54,-60,-25
225,-41,-45,-44,-55,-60,-27
226,-40,-45,-46,-56,-60,-30
227,-39,-46,-47,-56,-60,-33
228,-38,-46,-48,-57,-60,-35
229,-37,-46,-49,-57,-60,-37
230,-36,-46,-50,-57,-60,-39
231,-35,-46,-50,-57,-60,-41
232,-33,-46,-50,-57,-60,-42
233,-32,-46,-51,-56,-60,-43
234,-31,-45,-50,-55,-60,-44
235,-30,-44,-50,-54,-60,-45
